"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-01","0.00","T,,W,2400","0.0","T,,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-02","0.00","T,,W,2400","0.0","T,,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-03","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-04","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-05","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-06","0.00","T,,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-07","0.53",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-08","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-09","0.00","T,,W,2400","0.0","T,,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-10","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-11","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-12","0.28",",,W,2400","3.8",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-13","0.01",",,W,2400","0.2",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-14","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-15","0.00","T,,W,2400","0.0","T,,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-16","0.00","T,,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-17","0.00","T,,W,2400","0.0","T,,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-18","0.17",",,W,2400","2.3",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-19","0.13",",,W,2400","4.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-20","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-21","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-22","0.24",",,W,2400","1.5",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-23","0.23",",,W,2400","4.2",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-24","0.00","T,,W,2400","0.2",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-25","0.05",",,W,2400","0.6",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-26","0.07",",,W,2400","1.5",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-27","0.10",",,W,2400","1.3",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-28","0.38",",,W,2400","4.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-29","0.00","T,,W,2400","0.2",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-30","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-01-31","0.08",",,W,2400","1.1",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-01","0.01",",,W,2400","0.6",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-02","0.00","T,,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-03","0.01",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-04","0.06",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-05","0.80",",,W,2400","0.8",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-06","0.17",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-07","0.69",",,W,2400","0.0","T,,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-08","0.00","T,,W,2400","0.0","T,,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-09","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-10","0.04",",,W,2400","0.3",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-11","0.31",",,W,2400","1.6",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-12","0.31",",,W,2400","1.4",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-13","0.00","T,,W,2400","0.0","T,,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-14","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-15","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-16","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-17","0.28",",,W,2400","3.5",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-18","0.01",",,W,2400","0.3",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-19","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-20","0.16",",,W,2400","1.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-21","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-22","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-23","1.15",",,W,2400","0.0","T,,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-24","0.03",",,W,2400","0.0","T,,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-25","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-26","0.00","T,,W,2400","0.1",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-27","0.00","T,,W,2400","0.0","T,,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-02-28","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-01","0.01",",,W,2400","0.1",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-02","0.00","T,,W,2400","0.0","T,,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-03","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-04","0.00","T,,W,2400","0.0","T,,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-05","0.00","T,,W,2400","0.0","T,,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-06","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-07","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-08","0.00","T,,W,2400","0.0","T,,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-09","0.54",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-10","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-11","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-12","0.11",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-13","0.93",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-14","0.02",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-15","0.00","T,,W,2400","0.0","T,,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-16","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-17","0.00",",,W,2400","0.0",",,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-18","0.01",",,W,2400","0.0","T,,W"
"USW00094822","ROCKFORD GREATER ROCKFORD AIRPORT, IL US","2019-03-19","0.00",",,W,2400","0.0",",,W"
