      Name     Clear      Partly cloudy    Overcast    
       max     0.739          1.101          0.158     
       min     0.100          0.135          0.061     
      mean     0.455          0.472          0.112     
    median     0.464          0.439          0.111     
       std     0.146          0.155          0.013     
       var     0.021          0.024          0.000     
    pixels   2284.000       2284.000       2284.000    
25_percent     0.350          0.359          0.103     
50_percent     0.464          0.439          0.111     
75_percent     0.572          0.562          0.120     
