      Name     Clear      Partly cloudy    Overcast    
       max     0.917          0.862          0.029     
       min     0.144          0.106          0.012     
      mean     0.653          0.409          0.021     
    median     0.655          0.380          0.021     
       std     0.120          0.198          0.002     
       var     0.014          0.039          0.000     
    pixels   2284.000       2284.000       2284.000    
25_percent     0.569          0.230          0.020     
50_percent     0.655          0.380          0.021     
75_percent     0.749          0.555          0.023     
