,max,min,mean,median,std,var,pixels,25_percent,50_percent,75_percent
Farm boundary,0.8853115210581274,0.1738003753015816,0.6470815655536206,0.6694376762156258,0.14235954334353026,0.02026623958097847,2284,0.5373332314379335,0.6694376762156258,0.7701123310329344
Paddock 1,0.7520837027841815,0.385261797026503,0.669456801067216,0.6951360323302302,0.07777400409337827,0.0060487957127168205,45,0.6417202211926467,0.6951360323302302,0.7217595944967415
Paddock 2,0.7479940878378377,0.3479481641468683,0.5760671492091844,0.5898066086571064,0.11543516118611309,0.01332527643806391,78,0.4658810158169884,0.5898066086571064,0.6857626608071234
Paddock 3,0.8111091641843351,0.5498493811926105,0.7318749412116523,0.7675222112537018,0.07256670096892627,0.005265926089513566,43,0.6972519480724272,0.7675222112537018,0.7837465578291265
Paddock 4,0.8183504566210045,0.43187575266807854,0.7050763156179388,0.7363581280963752,0.07685553673745195,0.005906773527201826,69,0.6672161240774734,0.7363581280963752,0.7548210346545221
Paddock 5,0.8745398986040699,0.43879811107860756,0.7788150312706407,0.8017150857542877,0.0740687362367976,0.005486177687716295,63,0.7799584472086271,0.8017150857542877,0.8196150736797929
Paddock 6,0.7744846280048506,0.5134986873555111,0.7126962294030074,0.7410466475530223,0.06541167265732092,0.004278686919828506,68,0.7036589168036633,0.7410466475530223,0.7543550833224593
Paddock 7,0.8853115210581274,0.6876320967859485,0.8210621245010359,0.8233959929894498,0.030534467268629614,0.0009323536913790132,63,0.8060520020330089,0.8233959929894498,0.8418554560573834
Paddock 8,0.8371818465918953,0.45577975519070896,0.6847186897388345,0.6711067438221058,0.08488741518689621,0.007205873257112498,61,0.6245643640632451,0.6711067438221058,0.755844798924769
Paddock 9,0.8476260196611589,0.7503229635836738,0.8144209153683762,0.8168247895878813,0.01927208998786936,0.00037141345250053435,54,0.8014179022832408,0.8168247895878813,0.827582936323125
Paddock 10,0.876091232186605,0.5079496587367341,0.7747798455917073,0.7889773679798828,0.06983488038905822,0.004876910518954069,59,0.7590148737132512,0.7889773679798828,0.8181312845946992
Paddock 11,0.8132726089785296,0.749674971010928,0.7834979812974542,0.78447159309693,0.014769943417510336,0.0002181512285564569,51,0.7744538446407583,0.78447159309693,0.790737411142761
Paddock 12,0.8447113574923862,0.6113831797323873,0.7740084213137016,0.7814123505013242,0.048833036414092985,0.0023846654454201316,54,0.7602991100472206,0.7814123505013242,0.8066295070210794
Paddock 13,0.869535635312128,0.7588714687716991,0.8264080138563265,0.8393455072663882,0.03274884060813136,0.0010724865611767935,41,0.801583904109589,0.8393455072663882,0.8530278120290451
Paddock 14,0.8609711250340508,0.5267882076036223,0.7763007721503518,0.7887761152383941,0.07414067395854547,0.005496839535027343,49,0.7692862813018692,0.7887761152383941,0.8286762137617883
Paddock 15,0.7968644459454655,0.509357552881969,0.7297050572935826,0.748013090229079,0.0686139713407457,0.004707877063148673,39,0.7286800204416974,0.748013090229079,0.7764503803763205
Paddock 16,0.7771192528735633,0.428916889397989,0.644489500602197,0.6601284698325304,0.0913275750228421,0.00834072595955285,45,0.5897847855328052,0.6601284698325304,0.7206005918240602
Paddock 17,0.6276320650166235,0.47154503720120305,0.5573594457558563,0.5557260555665823,0.044898948635085395,0.002015915588536037,34,0.5207122195176266,0.5557260555665823,0.5959186094215464
Paddock 18,0.7095553453169346,0.2961869191348911,0.5332954386843922,0.5351461257340995,0.09046685635933989,0.008184252099541435,68,0.4786508494192535,0.5351461257340995,0.6042963668383254
Paddock 19,0.6918976545842218,0.38758526017759853,0.5549731592843209,0.5597028579792876,0.07936259007098283,0.006298420702774862,43,0.4854692420535953,0.5597028579792876,0.6072165815567927
Paddock 20,0.7065158664409465,0.29709700052622345,0.5356361559828332,0.5605956778579342,0.12489251822918528,0.015598141109627378,28,0.4351205983696109,0.5605956778579342,0.6501797760071776
Paddock 21,0.7158479741842954,0.45123816610856177,0.6130478796209216,0.6194213031835762,0.06370153859326039,0.004057886019148642,21,0.5912363790381578,0.6194213031835762,0.6553051126992853
Paddock 22,0.739153627311522,0.4466204435794509,0.6280875061751003,0.6398832927653015,0.07644442257460453,0.005843749742764706,52,0.5772493420521487,0.6398832927653015,0.6932692695746256
Paddock 23,0.6979405034324943,0.3166053599579612,0.6208931842634094,0.6410532559045593,0.07164162999170491,0.005132523147868352,76,0.606405988255827,0.6410532559045593,0.6750341652880674
East 18 North third,0.8375670586563398,0.4558339238817792,0.7309804470249194,0.7621940574700603,0.08353831146021698,0.006978649481624219,115,0.7007857455851931,0.7621940574700603,0.7908179152568633
East 18 South third,0.8721331859629732,0.6562648445207732,0.8000209855460684,0.8240652473254952,0.05623738882239828,0.003162643901561607,91,0.7607754897699226,0.8240652473254952,0.845158707965413
East 18 Middle third,0.8002810468997015,0.46047038821195807,0.6768146854394308,0.672949977996186,0.05779603710996965,0.0033403819056169893,159,0.6375166308662694,0.672949977996186,0.7148647543794717
votm farm padded,0.9037307771877802,-0.03354570904527464,0.45595807627033363,0.4669427946233197,0.15480124069622297,0.02396342412108996,52547,0.35104680331797367,0.4669427946233197,0.5615894085848776
