,max,min,mean,median,std,var,pixels,25_percent,50_percent,75_percent
Farm boundary,3.5195686080947683,0.6470711213077145,2.4589619146164075,2.5025775755211876,0.4549701582820688,0.20699784492721077,568,2.148996833653628,2.5025775755211876,2.7820375797683763
Paddock 1,3.4320365135453477,2.647016349977906,3.097294300600141,3.200301285634433,0.28092473609595986,0.07891870735058468,13,2.8229841103909683,3.200301285634433,3.3701763080642375
Paddock 2,3.2451420745714796,2.5365843116328715,2.926165498173887,2.964442003726461,0.22349878203221327,0.04995170556988277,22,2.7377971218200337,2.964442003726461,3.1010546243598553
Paddock 3,3.5195686080947683,2.8781870677731676,3.1539520902091636,3.1424867440651534,0.19149346372245127,0.036669746648421764,11,2.9859356457482202,3.1424867440651534,3.303906983710233
Paddock 4,3.1941342494714595,2.1499305210918114,2.757480364739078,2.7882322775263955,0.2308165352571418,0.05327627294811138,19,2.6997613735673505,2.7882322775263955,2.906323963133641
Paddock 5,2.776004505316273,2.2959838449111474,2.5950436958327545,2.608342143906021,0.12515894740979566,0.015664762116727998,15,2.508893619177078,2.608342143906021,2.6780743657964754
Paddock 6,2.628620860296917,2.0248687589158347,2.3773790055942383,2.4146761084848256,0.14813823318991845,0.021944936132630658,18,2.268360176562448,2.4146761084848256,2.469090739452641
Paddock 7,2.9549570661896247,2.5564940784604,2.7841489713551124,2.7903969396939696,0.1086464016663859,0.01180404059505366,14,2.736430398086909,2.7903969396939696,2.852250433279263
Paddock 8,2.5786978877746964,1.9393125,2.332626653189553,2.3293034982245095,0.17785662781248565,0.031632980056829046,16,2.21811100928376,2.3293034982245095,2.4733133770534463
Paddock 9,3.0463857245854364,2.795603681442525,2.9207372668523854,2.94001000526593,0.07323716372021676,0.005363682149781833,15,2.857856007585486,2.94001000526593,2.962421026182916
Paddock 10,2.7345950334288447,2.5249785973628898,2.6050544676128022,2.610851503759399,0.05522537206682438,0.003049841719919187,15,2.564382513884727,2.610851503759399,2.634160039311704
Paddock 11,2.9361364852809992,2.6937537026878777,2.763277959906375,2.7396567479221305,0.06958897630704818,0.004842625623462912,14,2.714246203544018,2.7396567479221305,2.7962584702729103
Paddock 12,2.9731659992719335,2.650084376924656,2.7899133832371046,2.7624053847622685,0.10297259295138105,0.01060335489913081,15,2.693566089407022,2.7624053847622685,2.8696763297184855
Paddock 13,3.1440924956369987,2.8892174231332355,3.038778534009563,3.0465258855585833,0.07916296663133951,0.006266775285874574,11,3.013339887872392,3.0465258855585833,3.091214045339286
Paddock 14,3.1582058300746536,2.6119229327711406,2.9936318478006587,3.048744014284745,0.16156406854945,0.026102948246251378,12,2.9414611485399216,3.048744014284745,3.099266297163144
Paddock 15,3.3030548612238273,2.630145264023012,3.0191643174267706,3.0735301170552667,0.19409144152766666,0.03767148767428765,12,2.873228256019827,3.0735301170552667,3.1374313080323284
Paddock 16,2.768143116600073,1.718881556150575,2.407220313390288,2.5721640735227096,0.3551155785817052,0.12610707415141928,10,2.2894130973291817,2.5721640735227096,2.6655837820520634
Paddock 17,3.1498329764453965,2.8635623242736647,2.9682540423520414,2.8938775044955847,0.1124386188236492,0.012642443002969878,8,2.8803433289049156,2.8938775044955847,3.0919860252316367
Paddock 18,2.8296526769954893,2.0010000000000003,2.446875532701439,2.3725905204006845,0.2559570559151004,0.06551401447272581,19,2.3003433500919064,2.3725905204006845,2.7324201183431955
Paddock 19,2.7225516328331865,1.6883681136850304,2.2702302724440084,2.330701492537314,0.33851951893671645,0.11459546470114591,11,1.9526392754848396,2.330701492537314,2.5728163060319678
Paddock 20,3.1610944669365724,2.5262680256700643,2.7392829668781964,2.669137183324531,0.20810996752212363,0.043309758582059356,6,2.608797682641433,2.669137183324531,2.783316615530943
Paddock 21,2.614144160583942,2.222252104377105,2.361308879597608,2.247530373831776,0.17907913932157626,0.03206933814015652,3,2.2348912391044404,2.247530373831776,2.430837267207859
Paddock 22,2.757339882121808,0.6557593657920584,1.7584589778847484,1.7531003487218144,0.7203389000012603,0.5188881308550257,12,1.1889186510019634,1.7531003487218144,2.354946390093504
Paddock 23,2.790473204520598,1.3628591549295777,2.307802968735196,2.5091285816618916,0.43949762687727945,0.19315816403076036,17,2.109992831541219,2.5091285816618916,2.6500884229717414
East 18 North third,2.491962213504027,1.8482524700441454,2.147188868306609,2.1266191167746777,0.17688126595598422,0.03128698224619162,28,2.023645098577533,2.1266191167746777,2.2696903999356484
East 18 South third,2.5664283000949673,1.8659742026266417,2.1615590519512087,2.1415475466519114,0.17275631408054826,0.029844744054697038,22,2.057869122691959,2.1415475466519114,2.284733777669447
East 18 Middle third,2.47235864328387,1.6364829545454544,2.0274201265158673,1.9995208497246264,0.19275935812660322,0.03715617014538007,41,1.928237542331882,1.9995208497246264,2.1587816185441238
votm farm padded,3.5195686080947683,-0.9749734513274336,1.148280322678301,0.828521797451375,0.7496882061672967,0.5620324064663392,13143,0.6212178133882796,0.828521797451375,1.7343830845771144
