,max,min,mean,median,std,var,pixels,25_percent,50_percent,75_percent
Farm boundary,0.890734055354994,0.25205930807248766,0.7151895905852534,0.7338171022406477,0.09282957725694746,0.008617330413703576,2284,0.6592027141645462,0.7338171022406477,0.7802226690239309
Paddock 1,0.856,0.524341952014908,0.6616563125296627,0.6259788116075541,0.09696674106143566,0.009402548872075513,45,0.5881548974943053,0.6259788116075541,0.7541930162221612
Paddock 2,0.8539529269764635,0.5751633986928104,0.7437799995090916,0.7516991187897387,0.061160279496572455,0.003740579788098861,78,0.7129311892748678,0.7516991187897387,0.7844919935434506
Paddock 3,0.7731190309806663,0.49713782474680757,0.6774008165036858,0.7070489844683393,0.0816760941115012,0.006670984349310801,43,0.6146375158585571,0.7070489844683393,0.744543144553452
Paddock 4,0.8521196187972395,0.529068224050969,0.6515385542313739,0.6462650602409639,0.0604028184201139,0.003648500473093251,69,0.6050251256281407,0.6462650602409639,0.6908280553600751
Paddock 5,0.8288049029622063,0.6545570427023581,0.7249392766974481,0.7134302822925578,0.04162822659752861,0.001732909249655188,63,0.6964660909472413,0.7134302822925578,0.7405980456257835
Paddock 6,0.8227576974564926,0.6720285969615728,0.7177706693415076,0.7179640030298509,0.025002235245815782,0.000625111767287113,68,0.702007720575487,0.7179640030298509,0.7276051595797722
Paddock 7,0.7802105263157895,0.689170820117807,0.7317419768998008,0.7287150837988827,0.026546621501738747,0.000704723113156578,63,0.7077577610209227,0.7287150837988827,0.757655591189502
Paddock 8,0.8154251812788398,0.662267949004697,0.7295449219213266,0.7244318181818182,0.0360003485813692,0.0012960250979800912,61,0.70018281535649,0.7244318181818182,0.7585168018539977
Paddock 9,0.8080133555926544,0.6252978124323153,0.7583530072531087,0.7677205665997833,0.03726081546606948,0.0013883683691964825,54,0.7568739947245491,0.7677205665997833,0.7812845484225263
Paddock 10,0.8654753040456689,0.6487226277372263,0.7696087287792764,0.7741379310344828,0.038895177703337475,0.0015128348485742007,59,0.7570782800522304,0.7741379310344828,0.7876938919767353
Paddock 11,0.7773935595418198,0.6680198466396031,0.7433113211996965,0.7525142107564495,0.027144923802767895,0.000736846888258075,51,0.7382518640995259,0.7525142107564495,0.7602847396942862
Paddock 12,0.8326776816155258,0.7033586663397892,0.7565893975788844,0.7542520119125525,0.028058999862457766,0.0007873074732814048,54,0.7372885750422887,0.7542520119125525,0.7710162651339122
Paddock 13,0.7779679144385027,0.5506028498355864,0.6171282349218308,0.6096142663306843,0.04826559844770121,0.0023295679935147373,41,0.5843137254901961,0.6096142663306843,0.6460431654676259
Paddock 14,0.8307363275282615,0.7049034834701575,0.7413136646555163,0.7318965517241379,0.02653124625587776,0.0007039070278900277,49,0.723826714801444,0.7318965517241379,0.7490744549568079
Paddock 15,0.7253718473809011,0.4848249027237354,0.5794444513255613,0.5760781122864117,0.056766830604928556,0.003222473056928653,39,0.5441620917300032,0.5760781122864117,0.5962936133876338
Paddock 16,0.8419540229885057,0.5054945054945055,0.6474804224251929,0.6132264529058116,0.07849667968225695,0.006161728721138851,45,0.5957500632431065,0.6132264529058116,0.7011152416356877
Paddock 17,0.8545454545454545,0.5262689225289403,0.6578183294908775,0.6516669003589224,0.07876635540171961,0.006204138743270004,34,0.6112385166888156,0.6516669003589224,0.6923713835349327
Paddock 18,0.8604415123065212,0.5097771714415643,0.7528634885358763,0.7624105346394754,0.08030627376016478,0.006449097605242529,68,0.6940880419422885,0.7624105346394754,0.82830274488129
Paddock 19,0.890734055354994,0.6227436823104693,0.8083787473320346,0.8658307210031349,0.0896129491882524,0.008030480662216306,43,0.7265500794912559,0.8658307210031349,0.8787546489024258
Paddock 20,0.8701882551278449,0.5966228893058161,0.7427236433690033,0.7346962706824391,0.07329049027791221,0.005371495965176743,28,0.7040938806130104,0.7346962706824391,0.8053842275832374
Paddock 21,0.8245131729667812,0.6339869281045751,0.7372120500484484,0.7300613496932515,0.05025622488096303,0.0025256881392859273,21,0.7017051586445068,0.7300613496932515,0.779847023611573
Paddock 22,0.792090395480226,0.4823123382226057,0.5964121333778667,0.6062847594221685,0.07189852170842717,0.005169397423857173,52,0.5380569458456174,0.6062847594221685,0.6376255586715238
Paddock 23,0.8097251585623678,0.36590996537129666,0.64953082052424,0.6325042439442001,0.08868059987295696,0.007864248793827494,76,0.5961793579198726,0.6325042439442001,0.7192852191530099
East 18 North third,0.867274569402229,0.6229643941484957,0.7439665568714605,0.7476425684777728,0.041645713635264404,0.0017343654641904474,115,0.7303306429500531,0.7476425684777728,0.7578225395206528
East 18 South third,0.8088039128501556,0.7359401399951726,0.7755519972215927,0.7771739130434783,0.015805434982281895,0.0002498117749791403,91,0.7623462728072172,0.7771739130434783,0.7868802009734652
East 18 Middle third,0.8394830102147175,0.5334811529933481,0.7774119846136892,0.7902377972465582,0.044303876815881604,0.0019628335009168117,159,0.748188359142298,0.7902377972465582,0.8096944044339502
votm farm padded,0.9325480071002098,0.03626220362622036,0.7281039650880372,0.8040540540540541,0.19751423433774842,0.039011872766026995,52547,0.6704309119601719,0.8040540540540541,0.8676579339233843
